sample_id,source,ionizable_lipid,helper_lipid,cell_line,cargo,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,IL_mol_pct,Frac_sp3C,NP_ratio,size_nm,zeta_mV,PDI,pKa,MW_IL,n_amines,transfection_pct,efficacy_binary,efficacy_label
LNP_12484,BioNTech2021,A2-Iso5-2DC18,DOPE,Jurkat,mRNA,39.1,10.29,1.97,48.64,0.4867,5.29,97.7,-0.65,0.2717,7.32,1033.7,2,32.72,0,Low
LNP_12485,Fenton2016,FTT5,DOPE,RAW264.7,siRNA,40.5,13.98,2.38,43.14,0.5584,2.13,85.8,-10.56,0.1047,6.48,572.7,1,31.3,0,Low
LNP_12486,Dahlman2014,L319,DOPE,PC3,mRNA,35.71,20.6,3.6,40.09,0.4331,4.29,102.3,-5.7,0.1609,6.23,524.0,2,33.14,0,Low
LNP_12487,Whitehead2014,DOTAP,DPPC,PC3,siRNA,41.93,13.52,1.47,43.08,0.6778,4.0,81.9,-11.53,0.127,6.45,675.1,4,60.53,1,High
LNP_12488,BioNTech2021,C12-200,DOPC,HEK293,pDNA,51.76,19.57,1.09,27.58,0.6719,3.03,82.2,1.95,0.1213,5.31,714.0,2,22.13,0,Low
LNP_12489,Li2015,SM-102,DOPC,RAW264.7,ASO,40.21,14.64,2.05,43.1,0.6322,3.15,109.7,-0.62,0.0888,5.56,542.5,2,55.62,1,High
LNP_12490,Oberli2017,OF-02,DOPE,PC3,mRNA,49.79,13.33,1.19,35.7,0.5655,2.37,103.7,-12.74,0.1932,7.11,757.7,2,51.0,0,Low
LNP_12491,Jayaraman2012,DLin-MC3-DMA,DOPC,HEK293,pDNA,35.71,16.56,1.09,46.64,0.5047,3.56,74.6,-9.11,0.1034,6.25,721.6,4,45.72,1,High
LNP_12492,Semple2010,DOTAP,DOPE,MCF7,mRNA,40.86,12.15,1.63,45.36,0.801,9.33,74.6,-1.47,0.2004,7.62,765.4,1,46.63,0,Low
LNP_12493,Fenton2016,LP01,DOPE,Jurkat,pDNA,41.23,14.61,3.06,41.1,0.5998,1.23,135.8,-8.32,0.1461,5.47,704.7,1,49.5,1,High
LNP_12494,Sabnis2018,A2-Iso5-2DC18,DSPC,HeLa,ASO,46.02,12.21,1.7,40.08,0.5356,3.88,156.3,-21.28,0.0794,7.0,683.1,3,48.18,0,Low
LNP_12495,Kulkarni2019,DODAP,DPPC,HEK293,mRNA,37.13,16.3,1.66,44.91,0.6096,4.61,86.2,6.13,0.1033,6.67,834.3,3,57.42,1,High
LNP_12496,Sabnis2018,A2-Iso5-2DC18,DOPE,HEK293,siRNA,39.55,11.25,0.74,48.46,0.4322,3.54,142.0,-7.67,0.1048,7.13,754.3,2,18.09,0,Low
LNP_12497,Patel2017,LP01,DOPE,MCF7,siRNA,41.7,11.37,1.64,45.29,0.5488,7.72,55.1,-19.28,0.0957,5.73,609.8,4,25.69,0,Low
LNP_12498,Hassett2019,IM23,DOPE,A549,pDNA,43.19,12.35,1.22,43.24,0.7629,3.63,81.1,-2.77,0.277,5.86,696.7,1,22.73,0,Low
LNP_12499,Hassett2019,cKK-E12,DOPC,Huh7,siRNA,36.86,12.02,1.72,49.4,0.7588,4.62,108.1,-0.56,0.0655,6.07,927.5,4,55.55,1,High
LNP_12500,Whitehead2014,LP01,DPPC,A549,pDNA,41.33,11.59,1.69,45.39,0.7028,4.03,81.8,-1.79,0.1063,5.88,639.6,2,47.32,0,Low
LNP_12501,Kauffman2015,MC3,DOPE,PC3,mRNA,41.73,15.06,2.31,40.91,0.2796,6.87,114.5,7.07,0.1825,7.02,786.9,2,41.73,0,Low
LNP_12502,Kauffman2015,DODAP,DOPE,Huh7,siRNA,32.11,15.6,1.4,50.9,0.7319,2.34,102.9,1.69,0.2528,5.74,549.4,2,61.54,1,High
LNP_12503,Kauffman2015,OF-02,DOPC,PC3,pDNA,35.14,14.78,2.12,47.96,0.7003,5.52,99.4,-10.98,0.1215,6.69,438.7,1,55.46,1,High
LNP_12504,Whitehead2014,DLin-MC3-DMA,DSPE,PC3,siRNA,34.78,10.41,1.14,53.67,0.5333,3.84,101.2,-4.01,0.1345,6.66,467.2,3,40.23,0,Low
LNP_12505,Kauffman2015,SM-102,DSPC,Jurkat,mRNA,46.59,13.14,4.11,36.16,0.743,2.76,188.9,5.09,0.0841,7.78,836.6,1,4.6,0,Low
LNP_12506,Moderna2021,A2-Iso5-2DC18,DOPC,Jurkat,ASO,45.81,13.25,1.27,39.68,0.6248,8.08,69.5,-4.41,0.1418,7.03,633.5,2,55.03,1,High
LNP_12507,Kauffman2015,FTT5,DSPE,RAW264.7,ASO,43.77,14.44,0.61,41.18,0.745,5.63,88.2,-5.24,0.3999,6.52,742.8,1,48.49,1,High
LNP_12508,Patel2017,A2-Iso5-2DC18,DOPC,A549,siRNA,42.5,17.5,0.7,39.3,0.5612,6.57,95.5,-7.12,0.2067,6.85,545.4,1,33.93,0,Low
LNP_12509,Patel2017,Lipid5,DPPC,MCF7,siRNA,41.84,16.89,1.53,39.74,0.8416,2.25,101.6,-0.65,0.1398,6.61,613.7,1,27.84,0,Low
LNP_12510,Hassett2019,DLin-MC3-DMA,DOPE,PC3,pDNA,44.17,13.9,1.66,40.27,0.7329,7.17,84.4,-6.86,0.2124,6.08,519.8,1,66.1,1,High
LNP_12511,Hassett2019,MC3,DSPC,PC3,siRNA,35.9,12.19,1.2,50.7,0.6909,8.73,114.4,-7.05,0.2426,7.31,585.1,1,32.19,0,Low
LNP_12512,Semple2010,L319,DSPE,A549,siRNA,35.9,14.01,2.37,47.72,0.4187,6.55,99.8,0.15,0.1055,5.73,733.2,4,67.83,1,High
LNP_12513,Whitehead2014,DLin-MC3-DMA,DOPE,HeLa,mRNA,31.83,15.33,1.2,51.64,0.4769,6.48,103.6,-1.4,0.1645,6.91,649.1,1,37.44,0,Low
LNP_12514,Kulkarni2019,DLin-MC3-DMA,DOPC,HEK293,siRNA,35.82,9.8,0.63,53.75,0.6097,2.35,115.3,6.6,0.0765,5.97,792.9,1,58.92,0,Low
LNP_12515,Sabnis2018,SM-102,DPPC,HeLa,pDNA,29.9,12.75,1.31,56.03,0.6088,4.62,74.8,-4.61,0.1889,6.36,552.4,2,30.85,0,Low
LNP_12516,Kulkarni2019,L319,DOPC,MCF7,mRNA,44.49,10.86,1.68,42.97,0.5515,3.51,102.5,-5.35,0.2838,6.13,613.5,2,66.37,1,High
LNP_12517,Whitehead2014,A2-Iso5-2DC18,DOPE,HeLa,siRNA,41.33,15.88,1.25,41.54,0.6872,3.79,79.3,-9.0,0.1687,5.87,519.3,2,66.36,1,High
LNP_12518,Miao2020,cKK-E12,DOPE,Jurkat,ASO,44.13,15.21,1.41,39.25,0.6694,2.76,57.7,-14.73,0.1801,6.98,637.9,1,54.13,1,High
LNP_12519,Miao2020,cKK-E12,DPPC,PC3,pDNA,42.97,18.6,0.97,37.46,0.5217,7.34,50.7,-12.74,0.095,7.01,607.8,3,40.25,0,Low
LNP_12520,Jayaraman2012,DLin-MC3-DMA,DSPC,PC3,ASO,44.75,12.17,0.77,42.31,0.4901,2.79,75.5,0.76,0.1684,5.39,591.0,4,24.27,0,Low
LNP_12521,Fenton2016,OF-02,DSPC,PC3,mRNA,42.45,11.71,1.99,43.86,0.7847,2.65,97.9,9.62,0.1402,6.41,746.3,1,54.48,1,High
LNP_12522,Oberli2017,FTT5,DOPC,HeLa,mRNA,46.35,12.53,1.81,39.3,0.4111,2.55,116.4,2.26,0.0936,6.12,629.6,1,18.48,0,Low
LNP_12523,Fenton2016,A2-Iso5-2DC18,DOPC,RAW264.7,pDNA,35.93,9.65,1.58,52.84,0.5254,6.68,157.1,2.4,0.077,5.96,675.4,3,50.37,1,High
LNP_12524,Oberli2017,OF-02,DSPC,MCF7,mRNA,40.98,10.75,2.62,45.65,0.4942,3.43,77.0,-6.59,0.2944,6.56,752.5,2,50.8,1,High
LNP_12525,Kulkarni2019,FTT5,DPPC,HEK293,mRNA,42.9,12.28,3.12,41.7,0.5197,3.04,112.7,-1.22,0.1302,6.67,737.9,1,21.2,0,Low
LNP_12526,Oberli2017,Lipid5,DOPE,HEK293,pDNA,46.41,14.22,2.1,37.27,0.5903,7.6,79.8,10.27,0.3103,6.63,728.3,1,6.78,0,Low
LNP_12527,Fenton2016,LP01,DPPC,A549,ASO,42.95,10.73,2.3,44.02,0.3034,5.77,191.2,-2.63,0.2208,5.91,498.0,2,34.2,0,Low
LNP_12528,Kulkarni2019,DODAP,DOPC,Huh7,siRNA,38.25,12.67,1.1,47.98,0.335,4.03,103.1,-4.46,0.1315,6.8,730.0,2,38.99,0,Low
LNP_12529,Whitehead2014,A2-Iso5-2DC18,DPPC,Huh7,siRNA,40.15,17.38,0.92,41.55,0.6543,8.75,119.1,-12.16,0.0745,6.48,801.1,1,38.63,0,Low
LNP_12530,Oberli2017,DOTAP,DPPC,HEK293,mRNA,40.96,16.23,3.63,39.18,0.5933,5.6,95.2,-3.46,0.1157,6.74,744.1,2,48.57,0,Low
LNP_12531,Hassett2019,FTT5,DOPC,HeLa,pDNA,44.1,16.22,0.59,39.1,0.4203,5.18,102.9,-0.25,0.1787,6.01,836.1,3,41.11,0,Low
LNP_12532,Fenton2016,L319,DSPC,Huh7,siRNA,36.57,9.97,2.19,51.27,0.5354,2.24,61.8,-6.77,0.1145,7.38,466.7,4,29.87,0,Low
LNP_12533,Jayaraman2012,SM-102,DOPE,HeLa,pDNA,44.96,13.15,0.68,41.22,0.7891,2.26,143.2,4.07,0.1239,6.68,660.1,3,41.23,0,Low
LNP_12534,Patel2017,DODAP,DOPE,HeLa,ASO,45.27,15.82,1.47,37.43,0.2362,9.97,66.9,-14.13,0.1103,6.27,429.3,1,61.46,1,High
LNP_12535,BioNTech2021,cKK-E12,DPPC,HeLa,mRNA,41.33,13.54,2.19,42.94,0.3875,3.9,119.7,-6.57,0.1134,5.85,552.0,1,44.7,0,Low
LNP_12536,Whitehead2014,DODAP,DOPE,A549,mRNA,41.08,14.27,1.25,43.4,0.7231,4.37,82.3,-0.46,0.3039,6.71,565.8,1,61.21,1,High
LNP_12537,Miao2020,C12-200,DSPE,A549,mRNA,37.22,13.21,1.46,48.12,0.7003,1.58,100.3,-6.15,0.1693,6.69,491.8,3,43.9,0,Low
LNP_12538,Moderna2021,C12-200,DOPE,PC3,pDNA,43.67,17.57,3.39,35.37,0.7032,9.91,92.1,2.5,0.078,7.14,549.3,2,21.88,0,Low
LNP_12539,Dahlman2014,IM23,DSPC,PC3,mRNA,38.66,14.93,2.11,44.3,0.5478,8.43,125.7,-2.7,0.1375,6.86,944.3,2,69.57,1,High
LNP_12540,Miao2020,LP01,DSPE,RAW264.7,pDNA,45.28,19.93,0.87,33.92,0.4822,4.11,110.5,-8.72,0.1633,5.53,410.3,3,16.64,0,Low
LNP_12541,Hassett2019,C12-200,DOPE,HEK293,mRNA,45.94,22.46,3.79,27.82,0.5302,8.42,65.3,-8.02,0.2622,6.56,638.5,4,28.29,0,Low
LNP_12542,Miao2020,FTT5,DOPE,MCF7,siRNA,41.64,16.53,2.09,39.74,0.2777,5.9,85.3,-5.29,0.1114,6.74,596.8,2,59.27,1,High
LNP_12543,Hassett2019,FTT5,DSPC,HEK293,mRNA,35.18,18.03,1.73,45.06,0.6038,8.41,74.2,2.85,0.1129,6.05,607.7,1,49.62,1,High
LNP_12544,Moderna2021,OF-02,DSPC,RAW264.7,ASO,36.59,16.94,0.91,45.55,0.4462,5.16,95.4,12.04,0.2863,5.72,803.4,1,35.82,0,Low
LNP_12545,Oberli2017,LP01,DPPC,HEK293,pDNA,39.27,14.24,1.28,45.21,0.4762,4.56,107.0,-0.58,0.1993,7.0,490.4,2,53.82,0,Low
LNP_12546,BioNTech2021,C12-200,DSPE,A549,mRNA,39.27,17.51,3.1,40.12,0.5599,4.01,50.0,2.48,0.2141,5.57,790.6,1,21.8,0,Low
LNP_12547,Whitehead2014,IM23,DOPC,MCF7,mRNA,38.44,10.58,1.12,49.86,0.2592,2.11,100.8,-10.24,0.1636,6.63,676.1,1,53.61,0,Low
LNP_12548,BioNTech2021,SM-102,DSPE,RAW264.7,siRNA,51.55,9.29,0.99,38.16,0.6002,5.11,69.7,-1.02,0.1449,7.01,653.5,2,16.1,0,Low
LNP_12549,Sabnis2018,Lipid5,DPPC,Jurkat,siRNA,38.72,16.1,1.54,43.64,0.8554,4.33,63.6,12.51,0.1616,6.05,664.5,4,61.67,1,High
LNP_12550,Fenton2016,cKK-E12,DPPC,HEK293,siRNA,49.97,13.51,2.57,33.95,0.7491,2.39,118.4,2.02,0.2873,6.65,671.6,3,41.39,1,High
LNP_12551,Fenton2016,DLin-MC3-DMA,DSPE,PC3,mRNA,40.85,14.77,1.04,43.34,0.4274,2.96,94.2,-2.61,0.1793,6.71,623.0,2,42.03,0,Low
LNP_12552,Li2015,ALC-0315,DSPC,MCF7,pDNA,47.74,11.39,0.98,39.89,0.8579,2.32,60.2,8.17,0.3115,6.76,837.4,3,31.1,0,Low
LNP_12553,Miao2020,IM23,DPPC,HEK293,mRNA,40.22,20.32,2.19,37.27,0.797,9.18,61.7,-2.25,0.2251,6.27,643.1,1,64.24,1,High
LNP_12554,Kauffman2015,Lipid5,DOPC,Huh7,mRNA,39.52,16.31,1.27,42.9,0.399,6.26,149.0,-8.89,0.1334,6.67,623.7,2,37.59,0,Low
LNP_12555,Semple2010,C12-200,DSPC,MCF7,mRNA,43.47,23.41,0.68,32.43,0.7225,8.2,106.3,1.6,0.0928,6.13,749.3,3,29.58,0,Low
LNP_12556,Kauffman2015,OF-02,DSPE,Jurkat,pDNA,39.06,17.34,1.0,42.6,0.5888,3.61,111.9,-25.68,0.1107,6.44,547.8,1,57.95,1,High
LNP_12557,Jayaraman2012,DOTAP,DOPC,HEK293,mRNA,40.9,9.36,2.62,47.13,0.5562,10.35,129.5,-3.27,0.1102,5.33,623.2,2,23.71,0,Low
LNP_12558,Patel2017,LP01,DSPC,A549,pDNA,39.87,17.51,1.64,40.98,0.5883,4.54,63.4,0.13,0.1851,6.35,677.1,1,65.23,1,High
LNP_12559,Hassett2019,A2-Iso5-2DC18,DSPC,HEK293,siRNA,35.7,14.97,1.69,47.65,0.6265,3.81,91.3,-3.84,0.1915,5.67,623.7,3,53.14,1,High
LNP_12560,Whitehead2014,DLin-MC3-DMA,DOPE,Jurkat,pDNA,42.68,20.36,2.17,34.8,0.2735,2.86,159.6,1.51,0.2144,6.32,698.3,1,32.59,0,Low
LNP_12561,Jayaraman2012,IM23,DPPC,MCF7,siRNA,40.43,16.66,1.97,40.93,0.6202,3.02,63.7,-19.58,0.13,5.51,626.3,1,48.92,1,High
LNP_12562,Whitehead2014,DLin-MC3-DMA,DPPC,PC3,pDNA,36.52,15.56,2.08,45.84,0.5453,5.1,115.6,-17.17,0.0987,6.02,467.1,3,81.68,1,High
LNP_12563,Fenton2016,LP01,DOPE,Huh7,siRNA,42.21,17.73,1.62,38.44,0.6031,13.6,84.3,-1.95,0.0932,6.36,633.7,2,36.71,0,Low
LNP_12564,Whitehead2014,FTT5,DOPC,MCF7,siRNA,36.21,12.35,1.4,50.04,0.4648,3.72,109.8,-7.82,0.0873,5.96,360.8,2,56.65,1,High
LNP_12565,Dahlman2014,IM23,DOPE,PC3,siRNA,32.86,11.37,0.84,54.93,0.7617,2.91,71.6,-2.78,0.102,6.61,649.4,2,79.81,1,High
LNP_12566,Fenton2016,A2-Iso5-2DC18,DOPE,Jurkat,mRNA,48.91,10.95,1.64,38.5,0.383,4.99,88.5,-3.6,0.2238,7.7,817.5,2,21.32,0,Low
LNP_12567,Li2015,IM23,DOPE,Jurkat,mRNA,36.57,12.8,2.5,48.13,0.4808,3.75,115.0,-4.06,0.1089,5.71,910.0,2,46.64,0,Low
LNP_12568,Sabnis2018,DODAP,DSPE,PC3,mRNA,47.24,11.87,1.4,39.49,0.5916,2.84,121.3,4.15,0.1539,6.0,690.1,4,56.28,1,High
LNP_12569,Sabnis2018,DODAP,DSPC,Huh7,pDNA,43.76,12.53,0.87,42.84,0.5639,2.8,158.4,-8.98,0.1073,5.81,848.6,4,48.35,0,Low
LNP_12570,Oberli2017,cKK-E12,DOPC,HeLa,siRNA,44.68,14.19,1.75,39.38,0.6941,4.31,82.8,-6.9,0.1172,7.04,517.5,4,45.87,1,High
LNP_12571,Fenton2016,C12-200,DSPC,Jurkat,pDNA,38.13,16.95,1.59,43.33,0.3191,4.21,106.5,-1.55,0.1521,6.94,679.8,2,42.33,0,Low
LNP_12572,Dahlman2014,DODAP,DOPC,RAW264.7,mRNA,43.49,15.13,1.55,39.83,0.349,6.54,65.1,-0.26,0.203,5.78,857.5,1,49.03,0,Low
LNP_12573,BioNTech2021,IM23,DOPE,RAW264.7,mRNA,36.96,11.92,1.98,49.14,0.6687,2.65,84.5,2.31,0.2546,6.88,693.2,1,58.01,1,High
LNP_12574,Li2015,SM-102,DOPE,Jurkat,siRNA,47.03,13.8,1.18,37.99,0.5147,6.0,64.9,-8.88,0.1709,6.86,638.1,4,30.74,0,Low
LNP_12575,Hassett2019,Lipid5,DPPC,Jurkat,mRNA,37.8,15.09,2.35,44.76,0.5997,1.68,119.9,-1.19,0.1734,6.35,790.9,1,65.96,1,High
LNP_12576,Dahlman2014,DODAP,DOPC,Jurkat,pDNA,41.91,15.19,0.74,42.16,0.3196,4.22,50.0,-5.04,0.1129,6.54,500.9,3,40.64,0,Low
LNP_12577,Dahlman2014,LP01,DSPE,RAW264.7,pDNA,35.25,14.28,1.76,48.71,0.4414,4.22,82.0,-5.2,0.0863,5.65,697.8,3,71.33,1,High
LNP_12578,Dahlman2014,DLin-MC3-DMA,DSPC,HeLa,mRNA,42.62,16.55,1.98,38.85,0.7143,10.55,105.9,-14.41,0.1357,6.59,512.5,1,47.16,0,Low
LNP_12579,BioNTech2021,IM23,DSPC,A549,siRNA,39.56,13.82,0.97,45.65,0.5553,3.71,75.3,-1.87,0.2757,6.0,671.6,2,33.66,0,Low
LNP_12580,Moderna2021,A2-Iso5-2DC18,DPPC,HeLa,pDNA,41.71,14.93,2.23,41.13,0.7672,2.27,83.7,-9.89,0.1341,6.26,737.9,2,54.32,0,Low
LNP_12581,Patel2017,Lipid5,DOPE,HeLa,mRNA,42.51,12.21,2.6,42.67,0.6164,6.11,66.0,-12.81,0.0856,6.65,795.2,1,65.33,1,High
LNP_12582,Oberli2017,LP01,DOPE,Huh7,siRNA,33.48,11.96,1.64,52.93,0.7356,6.09,53.2,6.98,0.304,6.6,779.0,1,51.04,1,High
LNP_12583,Kulkarni2019,L319,DOPE,A549,pDNA,43.07,9.91,1.77,45.24,0.7862,6.02,94.0,-21.71,0.1646,6.44,699.3,3,64.31,1,High
LNP_12584,Patel2017,DOTAP,DOPC,HeLa,mRNA,49.81,15.95,1.43,32.81,0.5775,17.53,64.0,-21.99,0.2105,6.32,565.0,1,16.29,0,Low
LNP_12585,Jayaraman2012,ALC-0315,DSPE,MCF7,siRNA,39.44,16.56,2.82,41.18,0.7218,8.16,56.4,-19.77,0.124,5.83,529.5,2,34.89,0,Low
LNP_12586,Jayaraman2012,C12-200,DSPE,HEK293,mRNA,46.48,8.96,1.18,43.38,0.8283,4.4,148.5,-7.07,0.0891,6.23,638.8,2,45.82,0,Low
LNP_12587,Miao2020,Lipid5,DOPC,HeLa,pDNA,44.58,16.44,1.68,37.3,0.4521,4.44,60.8,-2.78,0.1285,6.37,765.1,1,47.51,0,Low
LNP_12588,Fenton2016,L319,DSPC,RAW264.7,mRNA,43.81,14.03,1.46,40.69,0.5705,5.2,72.1,-4.69,0.1015,5.94,720.0,3,58.03,1,High
LNP_12589,Sabnis2018,MC3,DSPC,RAW264.7,mRNA,40.13,13.1,2.1,44.67,0.59,4.05,99.5,-5.0,0.0707,5.93,593.2,1,35.07,0,Low
LNP_12590,Semple2010,LP01,DSPE,HEK293,siRNA,45.39,14.94,2.16,37.51,0.5326,2.94,99.2,-5.49,0.1256,6.85,690.3,3,35.72,0,Low
LNP_12591,Kulkarni2019,FTT5,DOPC,MCF7,mRNA,45.42,15.28,1.45,37.86,0.5557,6.55,105.1,-16.98,0.0643,5.48,760.6,1,67.01,1,High
LNP_12592,Moderna2021,C12-200,DOPC,MCF7,pDNA,47.61,15.91,2.42,34.06,0.4119,3.52,93.1,-10.51,0.0952,6.58,571.2,1,52.75,1,High
LNP_12593,Whitehead2014,OF-02,DSPE,RAW264.7,pDNA,46.93,18.81,1.26,33.0,0.5388,3.88,147.8,-3.16,0.1574,6.29,620.5,4,38.12,0,Low
LNP_12594,Jayaraman2012,FTT5,DSPC,Huh7,mRNA,50.32,15.96,1.77,31.95,0.6291,6.4,61.0,-7.87,0.0852,6.04,657.8,3,28.01,0,Low
LNP_12595,Sabnis2018,DOTAP,DOPE,RAW264.7,siRNA,47.01,11.34,2.67,38.99,0.5569,10.38,105.2,-12.11,0.3504,6.53,712.4,3,61.6,1,High
LNP_12596,Fenton2016,DODAP,DSPC,A549,mRNA,39.31,15.71,1.76,43.22,0.6612,3.16,250.5,1.63,0.1604,8.12,793.5,2,6.74,0,Low
LNP_12597,Oberli2017,C12-200,DOPE,Jurkat,siRNA,47.49,16.81,4.46,31.24,0.4893,1.31,179.8,-9.03,0.1784,6.05,617.1,3,17.69,0,Low
LNP_12598,Semple2010,C12-200,DPPC,A549,pDNA,44.42,13.72,2.9,38.96,0.4527,3.58,100.5,-9.48,0.2118,6.95,724.1,2,27.34,0,Low
LNP_12599,Miao2020,DLin-MC3-DMA,DSPE,PC3,siRNA,43.39,17.4,1.21,38.01,0.5533,4.13,50.5,-10.73,0.0916,6.03,786.2,4,41.25,0,Low
LNP_12600,Kauffman2015,DLin-MC3-DMA,DPPC,RAW264.7,siRNA,37.57,14.65,2.67,45.11,0.6461,2.38,124.1,1.05,0.0762,6.61,777.3,2,25.61,0,Low
LNP_12601,Miao2020,L319,DSPE,RAW264.7,mRNA,40.4,13.19,1.54,44.88,0.3995,5.44,103.0,-6.04,0.1355,6.53,602.5,2,75.88,1,High
LNP_12602,Oberli2017,FTT5,DOPC,Jurkat,siRNA,43.87,14.88,3.15,38.1,0.8018,5.93,63.6,-9.79,0.1272,6.27,728.8,3,53.47,1,High
LNP_12603,Fenton2016,ALC-0315,DSPE,RAW264.7,mRNA,49.5,13.52,1.21,35.77,0.4666,13.43,146.6,0.56,0.0791,7.09,457.6,2,27.2,0,Low
LNP_12604,Li2015,MC3,DOPC,HEK293,mRNA,44.86,11.26,1.04,42.84,0.488,10.05,91.8,-0.5,0.1757,7.4,580.0,2,37.01,0,Low
LNP_12605,Kauffman2015,ALC-0315,DOPC,HEK293,mRNA,43.62,15.1,2.02,39.26,0.3852,3.83,91.9,2.77,0.2144,7.44,350.0,2,29.91,0,Low
LNP_12606,Patel2017,C12-200,DSPC,RAW264.7,mRNA,37.73,13.33,1.16,47.79,0.7538,2.81,100.5,-3.66,0.1228,6.31,845.6,3,48.05,1,High
LNP_12607,Li2015,DOTAP,DOPC,MCF7,pDNA,44.76,19.66,2.23,33.34,0.7608,1.89,79.2,-10.06,0.1662,6.49,693.9,2,45.54,0,Low
LNP_12608,Kulkarni2019,cKK-E12,DSPC,MCF7,mRNA,46.58,13.26,2.1,38.06,0.5401,5.91,69.2,-18.13,0.1724,6.13,615.0,2,50.46,0,Low
LNP_12609,Moderna2021,ALC-0315,DPPC,MCF7,mRNA,43.48,15.0,1.51,40.01,0.6808,9.69,137.3,-8.56,0.2088,6.55,765.4,2,31.85,0,Low
LNP_12610,Moderna2021,A2-Iso5-2DC18,DPPC,A549,siRNA,36.69,13.58,1.26,48.47,0.4441,3.78,50.1,3.22,0.1358,6.77,662.4,1,48.54,1,High
LNP_12611,Patel2017,A2-Iso5-2DC18,DSPC,PC3,mRNA,34.92,11.14,1.14,52.8,0.3482,1.61,123.9,-6.64,0.0969,5.96,592.4,2,26.35,0,Low
LNP_12612,Hassett2019,ALC-0315,DSPE,HEK293,siRNA,36.05,10.76,1.64,51.54,0.5371,6.15,98.8,-1.96,0.256,5.68,450.7,2,62.44,1,High
LNP_12613,Fenton2016,SM-102,DSPE,A549,mRNA,35.84,10.5,3.06,50.6,0.6038,8.61,113.6,-9.03,0.0764,6.1,584.0,3,49.63,1,High
LNP_12614,Semple2010,LP01,DSPC,Jurkat,siRNA,45.16,13.01,1.11,40.72,0.4377,5.86,71.5,-14.52,0.1625,6.38,647.5,3,19.73,0,Low
LNP_12615,Hassett2019,LP01,DPPC,HEK293,mRNA,38.38,10.44,1.64,49.54,0.509,5.4,94.7,-11.49,0.1201,5.56,617.0,2,66.86,1,High
LNP_12616,Patel2017,FTT5,DSPC,A549,ASO,32.32,16.88,1.68,49.11,0.5971,3.7,87.9,-20.25,0.135,7.28,791.9,2,46.29,0,Low
LNP_12617,Kulkarni2019,FTT5,DOPC,RAW264.7,siRNA,35.52,13.73,2.41,48.34,0.8368,5.44,115.9,3.14,0.1271,6.64,812.7,2,49.85,1,High
LNP_12618,Jayaraman2012,A2-Iso5-2DC18,DOPC,Jurkat,pDNA,44.18,12.15,2.72,40.96,0.4164,6.82,159.2,-2.57,0.1879,6.18,637.8,2,49.45,1,High
LNP_12619,Kauffman2015,L319,DOPE,HEK293,mRNA,41.07,14.28,1.99,42.66,0.6808,2.02,111.9,4.47,0.1497,5.32,584.2,2,54.77,0,Low
LNP_12620,BioNTech2021,DLin-MC3-DMA,DOPE,HEK293,mRNA,43.86,16.01,0.88,39.24,0.5664,3.13,74.7,-5.27,0.1228,7.51,568.2,3,11.23,0,Low
LNP_12621,Sabnis2018,IM23,DSPE,A549,pDNA,47.53,18.54,2.1,31.83,0.6844,4.63,123.8,-5.24,0.0716,5.81,532.5,2,33.68,0,Low
LNP_12622,Whitehead2014,FTT5,DOPE,A549,siRNA,44.62,12.68,0.89,41.81,0.648,5.82,104.3,2.92,0.0856,6.92,725.9,3,64.29,1,High
LNP_12623,Patel2017,OF-02,DOPC,Jurkat,siRNA,41.38,14.25,0.93,43.45,0.5513,2.26,60.8,5.06,0.1651,5.39,800.5,1,34.55,0,Low
LNP_12624,Kulkarni2019,IM23,DOPE,Huh7,mRNA,42.11,12.92,0.73,44.24,0.3231,2.43,67.7,-4.59,0.1097,5.08,667.8,2,19.15,0,Low
LNP_12625,BioNTech2021,C12-200,DSPE,RAW264.7,pDNA,30.22,18.25,1.86,49.66,0.5259,8.48,88.0,-0.87,0.1292,5.83,555.6,2,38.37,0,Low
LNP_12626,Dahlman2014,L319,DSPE,Jurkat,mRNA,45.33,17.6,2.14,34.93,0.3636,6.41,65.0,-6.76,0.1977,7.19,594.6,2,37.91,0,Low
LNP_12627,Dahlman2014,FTT5,DOPC,Huh7,mRNA,40.35,20.83,1.29,37.52,0.6693,3.93,94.3,-9.33,0.1523,6.19,865.8,2,40.63,0,Low
LNP_12628,BioNTech2021,A2-Iso5-2DC18,DSPE,PC3,siRNA,42.49,11.04,2.44,44.03,0.6484,6.01,87.9,-8.02,0.0737,6.87,695.7,2,39.96,0,Low
LNP_12629,Patel2017,Lipid5,DOPE,Huh7,pDNA,38.14,10.94,3.15,47.78,0.4802,5.45,72.4,-15.43,0.0912,6.52,687.4,3,61.63,1,High
LNP_12630,Fenton2016,L319,DOPE,A549,pDNA,40.22,12.23,1.51,46.04,0.8034,10.12,125.9,5.48,0.1104,6.16,652.5,2,70.39,1,High
LNP_12631,BioNTech2021,C12-200,DPPC,A549,pDNA,42.49,8.71,2.51,46.29,0.6064,6.52,79.3,8.85,0.1237,5.46,782.6,2,31.69,0,Low
LNP_12632,Miao2020,A2-Iso5-2DC18,DPPC,Jurkat,pDNA,41.34,9.52,1.0,48.13,0.5061,5.41,80.1,-4.17,0.1077,5.95,633.0,3,34.91,0,Low
